Inserted List,,ORF Name,Gene Name
VTC5,,YDR089W,VTC5
YDR090C,,YDR090C,YDR090C
RLI1,,YDR091C,RLI1
UBC13,,YDR092W,UBC13
DNF2,,YDR093W,DNF2
YDR094W,,YDR094W,YDR094W
YDR095C,,YDR095C,YDR095C
GIS1,,YDR096W,GIS1
MSH6,,YDR097C,MSH6
GRX3,,YDR098C,GRX3
BMH2,,YDR099W,BMH2
TVP15,,YDR100W,TVP15
ARX1,,YDR101C,ARX1
YDR102C,,YDR102C,YDR102C
STE5,,YDR103W,STE5
SPO71,,YDR104C,SPO71
TMS1,,YDR105C,TMS1
ARP10,,YDR106W,ARP10
TMN2,,YDR107C,TMN2
TRS85,,YDR108W,TRS85
YDR109C,,YDR109C,YDR109C
FOB1,,YDR110W,FOB1
ALT2,,YDR111C,ALT2
YDR112W,,YDR112W,YDR112W
PDS1,,YDR113C,PDS1
YDR114C,,YDR114C,YDR114C
MRX14,,YDR115W,MRX14
MRPL1,,YDR116C,MRPL1
TMA64,,YDR117C,TMA64
APC4,,YDR118W,APC4
VBA4,,YDR119W,VBA4
TRM1,,YDR120C,TRM1
DPB4,,YDR121W,DPB4
KIN1,,YDR122W,KIN1
INO2,,YDR123C,INO2
YDR124W,,YDR124W,YDR124W
ECM18,,YDR125C,ECM18
SWF1,,YDR126W,SWF1
ARO1,,YDR127W,ARO1
MTC5,,YDR128W,MTC5
SAC6,,YDR129C,SAC6
FIN1,,YDR130C,FIN1
YDR131C,,YDR131C,YDR131C
YDR132C,,YDR132C,YDR132C
YDR133C,,YDR133C,YDR133C
YDR134C,,YDR134C,YDR134C
YCF1,,YDR135C,YCF1
VPS61,,YDR136C,VPS61
RGP1,,YDR137W,RGP1
HPR1,,YDR138W,HPR1
